cohort,submission_n,submitted_utc,essay_blank,essay_chars,T1_everyday_coffee,T2_clarity_pace,T3_visual_immersion,T4_affect_stigma,T5_concepts_prior,T6_limits_friction,theme_count,themes_flagged,needs_manual_review,essay
DD,1,2026-03-22 07:20:58 UTC,0,124,1,0,0,0,0,1,2,T1_everyday_coffee;T6_limits_friction,0,The way they connected organic chemistry to coffee was interesting but it didn't change how I think about organic chemistry.
DD,2,2026-03-14 04:10:08 UTC,0,80,0,1,0,0,0,0,1,T2_clarity_pace,0,I like that they try to break it down in an understandable way and use examples.
DD,4,2026-03-14 04:14:30 UTC,0,28,0,0,1,0,0,0,1,T3_visual_immersion,0,I liked observing the models
DD,5,2026-03-15 06:17:25 UTC,0,240,0,0,0,1,0,1,2,T4_affect_stigma;T6_limits_friction,0,Nothing stood out to me and nothing changed how I think about organic chemistry. I've just heard from all around me how difficult and scary and grade tanking it is that this video is not going to magically make me feel comfortable about it.
DD,6,2026-03-14 04:26:29 UTC,0,161,1,0,0,0,0,0,1,T1_everyday_coffee,0,"Probably the connection to coffee, I thought that was interesting. It showed me that chemistry does play a role in everyday life, though it may not seem like it."
DD,7,2026-03-14 20:25:04 UTC,0,176,0,0,0,1,0,0,1,T4_affect_stigma,0,This video stood out to me because at first I was very scared to take organic chemistry but now I feel like its a course that is not going to be as bad as it is made out to be.
DD,8,2026-03-14 04:26:24 UTC,0,47,0,0,0,0,0,1,1,T6_limits_friction,0,No it didn't really change how I think of ochem
DD,9,2026-03-14 04:25:54 UTC,0,20,0,0,1,0,0,0,1,T3_visual_immersion,0,I liked the visuals.
DD,10,2026-03-14 04:33:51 UTC,0,229,1,0,0,0,0,0,1,T1_everyday_coffee,0,"I really enjoyed the background of the video as a cafe, because it tied really well to the information about coffee. I think it's nice knowing that organic chemistry is all around us and can be tied to even mundane parts of life."
DD,11,2026-03-14 04:34:21 UTC,0,42,0,0,0,0,0,0,0,,1,It gave me more context to why we learn it
DD,12,2026-03-14 06:12:26 UTC,0,226,0,1,0,1,0,0,2,T2_clarity_pace;T4_affect_stigma,0,"What stood out to me most about this video is how they made it really simple and straightforward, making the concepts easy to understand. This changed how I thought about organic chemistry because it made it less intimidating."
DD,13,2026-03-14 04:42:34 UTC,0,171,1,0,0,0,0,0,1,T1_everyday_coffee,0,I found I engaged most with the video as it discussed chemistry properties in coffee and as I drink caffeine everyday I saw how chemistry interacts with my own daily life.
DD,15,2026-03-14 04:48:37 UTC,0,109,0,0,0,0,1,0,1,T5_concepts_prior,0,A lot of points stood out in the video and it made me think about how much of the world is made up of carbon.
DD,16,2026-03-14 04:48:21 UTC,0,141,0,0,0,1,1,0,2,T4_affect_stigma;T5_concepts_prior,0,I appreciated that they tried to make organic chemistry seem less intimidating by just introducing it as the study of carbon-based molecules.
DD,17,2026-03-14 05:52:12 UTC,0,171,1,0,0,0,0,0,1,T1_everyday_coffee,0,I don't have to take organic chemistry because it's not required for my major. The video was interesting in the way they connected everyday items like coffee to chemistry.
DD,18,2026-03-18 07:46:14 UTC,0,69,0,0,1,0,0,0,1,T3_visual_immersion,0,Having several different visuals helped me understand content better.
